critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
dominic-power,rotten,1.5/5,twilight_saga_new_moon,"If this is the world's next generation of womanhood, that's a century of female emancipation down the drain. Bella's more likely to polish her chastity belt than burn her bra.",The Twilight Saga: New Moon (2009)
dominic-radcliffe,rotten,2/5,sanctum,Inoffensive but extremely and earnestly dull.,Sanctum (2011)
dominic-radcliffe,fresh,4/5,gnomeo_and_juliet,"As an earnest and mostly successful stab at what seemed like a flawed idea, Gnomeo & Juliet somehow manages to evoke fond memories.",Gnomeo and Juliet (2011)
dominic-radcliffe,fresh,3/5,confessions_2010,An engaging and undeniably interesting slant on the source of vendetta and the psychology behind violence and cruelty.,Confessions (Kokuhaku) (2010)
dominic-radcliffe,rotten,2/5,i_am_number_four,It's not really dreadful but it's not really enough.,I Am Number Four (2011)
dominic-radcliffe,rotten,2/5,eleanors_secret,"Heavily disappointing, eye-wateringly bad dialogue and generally fails to stay on its feet.",Eleanor's Secret (le Secret D'eleonore) (2009)
dominic-radcliffe,rotten,1/5,,"Too dull, too long, too Bollywood.",Life Goes On (2010)
dominic-radcliffe,rotten,2/5,ironclad,If it had been irony clad it might have been better.,Ironclad (2011)
dominic-radcliffe,rotten,2/5,anuvahood,A solid effort from Adam Deacon but not really enough to light up the concrete.,Anuvahood (2011)
dominic-radcliffe,rotten,2/5,faster_2010,Johnson has just hit rock bottom.,Faster (2010)
dominic-radcliffe,fresh,4/5,sweetgrass,It would be foolish not to experience this film.,Sweetgrass (2009)
dominic-radcliffe,rotten,2/5,blitz_2011,"It's all been seen before and will be seen again, and again.",Blitz (2011)
dominic-radcliffe,fresh,3/5,la_princesse_de_montpensier,"It's clear that veteran director Bertrand Tavernier has set out to show the potency and relevance of a classic love story and that period romance is by no means a dead genre. On this evidence, he has a point.",La princesse de Montpensier (The Princess of Montpensier) (2011)
dominic-radcliffe,fresh,4/5,living_in_emergency_stories_of_doctors_without_borders,"Honest, beguiling and unpretentious, but not one for the faint-hearted.",Living in Emergency: Stories of Doctors Without Borders (2010)
dominic-wells,fresh,3/5,star_wars_episode_ii_attack_of_the_clones,"Christensen is a winning mix of sultry and sulky as the now older Anakin, while McGregor is finally beginning to relax as the mentor who understandably refuses to treat his moody pupil like a grown-up.",Star Wars: Episode II - Attack of the Clones (2002)
dominic-wells,rotten,,valmont,"It's a warm, energetic, humorous film, with some excellent ensemble playing; but the cruelty and psychological complexity are lost, and the ensuing tragedy has little resonance.",Valmont (1989)
dominic-wells,fresh,,bill_and_teds_bogus_journey,"For those who appreciate dude-speak and bozo humor, this is a very funny film.",Bill & Ted's Bogus Journey (1991)
dominic-wells,rotten,,1040378-cool_world,"Even the eventual universe-shaking shag is an anti-climax, and by the time all hell rips loose just before the abysmally contrived happy ending, you're well past caring.",Cool World (1992)
dominic-wells,fresh,5/5,1194818-encounters_at_the_end_of_the_world,"As a nature doc alone, Encounters at the End of the World would stand as one of the year's best. But it is the people who choose to live and work at the very ends of the Earth that are Herzog's real subject.",Encounters at the End of the World (2007)
dominic-wells,fresh,,die_hard_2_1990,No one carries a one-liner better than Willis. He's also unusual among Hollywood's Action Men in seeming vulnerable at the same time as being invincible.,Die Hard 2 (1990)
dominic-wells,fresh,4/5,from_russia_with_love,The stylish second Bond film From Russia With Love now looks as if it was shot yesterday.,From Russia With Love (1964)
dominic-wells,rotten,2/5,outlander,"Sadly, the kooky premise of Outlander solidifies quickly into formula: monster is fought, fair maiden won, kingship gained and past errors redeemed with no real surprises along the way.",Outlander (2009)
dominic-wells,rotten,2/5,city_rats,"City Rats is an old Trabant: depressing, prone to stall, its parts not properly welded together.",City Rats (2009)
dominic-wells,fresh,4/5,heartless-2009,"Though several sequences are gruesome enough to be watched only through splayed fingers, it's no generic horror flick, but one of the most original and audacious British psychological thrillers in a while.",Heartless (2010)
dominic-wells,fresh,3/5,frequently_asked_questions_about_time_travel,"Frequently Asked Questions About Time Travel is, unashamedly, a Mini Cooper of a film: small but nippy.",Frequently Asked Questions About Time Travel (2009)
dominick-mayer,fresh,A-,son_of_saul,"Son of Saul understands how many different forces conspired to facilitate it, and moves its endlessly suffering protagonist through as many of them as it possibly can.",Son of Saul (2015)
dominick-mayer,rotten,D,don_verdean,"Don Verdean is the sort of comedy which presumes its own hilarity long before it gets around to telling any actual jokes, or staging anything that might otherwise be considered funny...",Don Verdean (2015)
dominick-mayer,fresh,B+,youth_2015,"In Youth, the greatest pleasure to be had is to enter into the whole human comedy at all.",Youth (2015)
dominick-mayer,fresh,B-,legend_2015,"Legend offers Hardy the sort of role that an actor can really sink their teeth into. And if the film itself doesn't ever really match the level of effort on hand, it's not for any lack of effort on the endlessly versatile actor's part.",Legend (2015)
dominick-mayer,fresh,B+,victoria_2015,"While Victoria is a heist movie of substantial technical merit, it's also just a fine film about Berlin youth culture, and about the singular, seductive joys of being young",Victoria (2015)
dominick-mayer,fresh,B-,nasty_baby,"It's difficult cinema, absolutely so, but like the most interesting of the difficult movies, it's an eminently memorable watch.",Nasty Baby (2015)
dominick-mayer,rotten,D-,scouts_guide_to_the_zombie_apocalypse,"...as a film about rites of passage, specifically those when generally nice if dweeby boys pick up weapons and thus command the attention of hot blondes, it ends up being more than just sophomoric. It's also disquieting, and depressing.",Scouts Guide to the Zombie Apocalypse (2015)
dominick-mayer,fresh,B+,room_2015,"Room is a truly beautiful work regarding the inextricable bonds between mother and child, and the capacity of the human mind to transcend the body, to continue on when all else appears lost.",Room (2015)
dominick-mayer,rotten,D+,the_last_witch_hunter,To work through the many layers of exposition that The Last Witch Hunter unloads would take longer than this review has to get to why the film isn't very good.,The Last Witch Hunter (2015)
dominick-mayer,fresh,B,crimson_peak,"Crimson Peak is hardly the house-of-nightmares feature that may be expected. It is a sadder, more pensive and muted film for its indulgences, more wrenching than frightening.",Crimson Peak (2015)
dominick-mayer,rotten,C-,pan_2015,"Whatever it is, here's Pan, the grittier, overexposed origin tale of how Peter Pan came to be Peter Pan that aims to tap into the boundless market of viewers who like when everything is explained in painstaking detail...",Pan (2015)
dominick-mayer,rotten,D+,stonewall_2015,"It's a high school play-ready version of the riots, a version more focused on outside characters and related inspiring lessons than even the riots themselves, and wears the rosest-colored glasses about the dynamics of the era in which it took place.",Stonewall (2015)
dominick-mayer,fresh,B,the_keeping_room,"The Keeping Room is quick (perhaps too quick), blunt, and brutal, showcasing the escalating horrors of true vulnerability with a grace and minimalism that exceeds the film's modest-bordering-on-muted storytelling.",The Keeping Room (2015)
dominick-mayer,fresh,C,maze_runner_the_scorch_trials,"Scorch at least feels more like a feature-length film than The Maze Runner, which played like a sizzle reel for another film that would eventually follow it. It doesn't shed all the problems of that prior installment, but it's a start.",Maze Runner: The Scorch Trials (2015)
dominick-mayer,rotten,C-,we_are_your_friends_2015,"Even setting aside for a moment that We Are Your Friends feels several years late to its own party, the film is still somehow both cloyingly of-the-moment and instantly obsolete.",We Are Your Friends (2015)
dominick-mayer,fresh,A,the_look_of_silence,"The Look of Silence is a breathtaking, haunting piece of documentary cinema, one whose existence is truly baffling and whose images will linger for untold years to come.",The Look of Silence (2015)
dominick-mayer,fresh,B+,the_gift_2015,"The Gift burns slow, far more concerned with character than it is with easy shocks, and it's because of this that when those do come, they hit all the harder. Novel stuff, huh?",The Gift (2015)
dominick-mayer,fresh,B-,the_boy_2015,The Boy's most disturbing facet is the possibilities it imagines.,The Boy (2015)
dominick-mayer,fresh,A-,mr_holmes,"Mr. Holmes deconstructs the legend from a perspective so potent that one starts to long for other films about aging heroes that view their subjects in more vulnerable times, and with the lack of sentiment that McKellen finds.",Mr. Holmes (2015)
dominick-mayer,fresh,C+,miles_ahead_2016,"Miles Ahead is a more complicated musician's story, but ultimately it's still a celebration.",Miles Ahead (2016)
dominick-mayer,rotten,C,freeheld_2015,Freeheld is a film with grand intentions and little to no idea what to do with them beyond the point of having them.,Freeheld (2015)
dominick-mayer,rotten,D+,yoga_hosers,"While Yoga Hosers continues Smith's quest to push himself into increasingly strange and uncomfortable directions as a filmmaker, it's either too derivative or too malformed to work the vast majority of the time.",Yoga Hosers (2016)
dominick-mayer,fresh,C+,the_wave_2016,The Wave is just plausible enough to strike fear into viewers' hearts.,The Wave (Bolgen) (2016)
dominick-mayer,fresh,B,indignation,"Indignation recalls a crueler time in history, in a manner that offers a strong reminder that melodrama, when executed so well and acted to the nines as this is, isn't always a profanity as it's so often treated.",Indignation (2016)
dominick-mayer,rotten,C,genius_2016,"Genius goes and breaks one of the key tenets of the editorial process: it makes assumptions early and often, largely about how consequential its events seem to be.",Genius (2016)
dominick-mayer,rotten,C-,alice_in_wonderland_through_the_looking_glass,"Alice Through The Looking Glass is not particularly good. It's a classic case of sequel bloat, a film that seems to exist less because of any extended story it wants or needs to tell than because it must repackage something that was once popular.",Alice Through the Looking Glass (2016)
dominick-mayer,fresh,B+,last_days_in_the_desert,"Last Days in the Desert accomplishes something that too few modern films about religion even attempt to grasp: faith and mortality are inextricable, from the early sequences of the Bible to the crucifixion and onward.",Last Days In The Desert (2016)
dominick-mayer,fresh,B,dark_horse_2016,"Dark Horse's primary function is to inspire, and Osmond does this capably; at a fleet 85 mins, the film hardly overstays its welcome, even if it'd hardly be a struggle to spend more time with the boisterous, sometimes toothless members of the syndicate.",Dark Horse (2016)
dominick-mayer,fresh,B+,captain_america_civil_war,"The Russos understand how to pace action better than many of their MCU contemporaries, and as such, Civil War moves at a rapid clip despite all the table-setting and it being the lengthiest Marvel film to date at 146 minutes",Captain America: Civil War (2016)
dominick-mayer,fresh,B-,the_dark_horse_2016,It's to The Dark Horse's great benefit that this is the rare inspirational true-life story that doesn't shoehorn a fountain of relentless optimism for the future into the proceedings.,The Dark Horse (2016)
dominick-mayer,fresh,B+,the_jungle_book_2016,"The Jungle Book features some of the more astounding visuals in recent film. For a film that's overwhelmingly digital, there's a remarkably tactile quality to so many of the film's setpieces.",The Jungle Book (2016)
dominick-mayer,rotten,D,gods_not_dead_2,The sequel to the faith-based hit loses its heart under several layers of hot-topic opportunism,God's Not Dead 2 (2016)
dominick-mayer,fresh,B,eye_in_the_sky,"Eye in the Sky sees, like any good film about warfare, that there are no real victories, and there's no end in sight.",Eye In The Sky (2016)
dominick-mayer,fresh,B+,lo_and_behold_reveries_of_the_connected_world,"Lo and Behold is no Luddite's screed. With Herzog's signature mix of dry humor and searching interviews, he simply takes our world at face value and uses the Internet to investigate the imperfections of the people who created it.","Lo and Behold, Reveries of the Connected World (2016)"
dominick-mayer,fresh,C+,knight_of_cups,"An elegant, frustrating, sometimes deeply graceful trip through Los Angeles.",Knight of Cups (2016)
dominick-mayer,fresh,B,zootopia,"Zootopia might not be the best of Disney's recent in-house movies, but it's easily the most political film the Mouse House has turned out in a good while.",Zootopia (2016)
dominick-mayer,fresh,A-,the_invitation,The Invitation is supremely well-crafted.,The Invitation (2016)
dominick-mayer,fresh,C+,how_to_be_single_2016,"How To Be Single is an ode to all things young, urban millennial professional, and one thing it gets surprisingly right about the culture is how lonely the spaces between ""moments"" can be.",How To Be Single (2016)
dominick-mayer,fresh,C,deadpool,"Deadpool is very good at what it sets out to do some of the time, and it's going to do exceedingly well because of this.",Deadpool (2016)
dominick-mayer,fresh,B-,creative_control,"Creative Control envisions a world in which we can have all of the gratification of interpersonal relationships with little to none of the difficulty. It's an overwhelming, often sad, place.",Creative Control (2016)
dominick-mayer,rotten,C-,the_fundamentals_of_caring,"Any dramatic tension the film establishes is washed away in an ocean of what Demolition Man once called ""joy-joy feelings.""",The Fundamentals of Caring (2016)
dominick-mayer,fresh,B-,kate_plays_christine,"Much of Kate Plays Christine is more of a form exercise than it is a documentary portrait, which works to both the film's benefit and detriment.",Kate Plays Christine (2016)
dominick-mayer,rotten,D,carnage_park,"Carnage Park is an exploitation movie down to its very bones, but writer-director Mickey Keating never really finds a handle on which sort of throwback film he wants to make.",Carnage Park (2016)
dominick-mayer,fresh,B,dark_night_2017,Dark Night approaches the difficult topic of public acts of gun violence in America in a way at once familiar and arguably necessary.,Dark Night (2017)
dominick-mayer,rotten,D+,pixels,"Pixels operates on the Big Bang Theory model of geek comedy, the one that pretends to not be secretly thumbing its nose at the whole thing while benefitting handsomely from it.",Pixels (2015)
dominick-mayer,rotten,F,joe_dirt_2_beautiful_loser,"But even by the rather lofty modern standards of cynical, pointless cash-ins, Joe Dirt 2 is pronounced, a sequel to a mild hit from nearly 15 years ago that even its most ardent defenders would be hard-pressed to justify",Joe Dirt 2: Beautiful Loser (2015)
dominick-mayer,fresh,B+,furious_7,"As a relentlessly paced action movie, Furious 7 is an excellent entry for those who would appreciate this sort of thing. As a memorial for one of its own, it's about as affecting as big, loud, ridiculous action movies get.",Furious 7 (2015)
dominick-mayer,fresh,B-,live_die_repeat_edge_of_tomorrow,"As ""puzzle movies"" go, Edge of Tomorrow is one that holds up surprisingly well to scrutiny.",Live Die Repeat: Edge of Tomorrow (2014)
dominick-mayer,fresh,B,best_of_enemies_2015,Best of Enemies is effective as both a chronicle of a fraught era in American history and an origin story of the modern state of American televised news journalism.,Best Of Enemies (2015)
dominick-mayer,rotten,D,the_bronze,The Bronze is so satisfied with its own winking crassness that it lets epithets constitute everything it has to say.,The Bronze (2016)
dominick-mayer,fresh,A,adieu_au_langage,Goodbye to Language 3D challenges the very ways in which we watch movies. And that's the point. The things Jean-Luc Godard is able to do with 3D as a medium are astounding.,Adieu au langage (Goodbye to Language) (2014)
dominick-mayer,rotten,D+,the_wedding_ringer,"There are also enough montages that, after a time, you'll be left convinced that in the brave new world of 2015 there is no more filmmaking, only montage.",The Wedding Ringer (2015)
dominick-mayer,fresh,B-,the_disappearance_of_eleanor_rigby_them,"The film is a whole mess of things, but at heart it's a poignant character study of the divergent ways in which people experience and cope with tragedies, and a powerful reminder that those often have a blanket reach.",The Disappearance of Eleanor Rigby: Them (2014)
dominick-mayer,fresh,C+,the_boxtrolls,"The Boxtrolls may still make for a better watch than a great many movies spoon-fed to children in the present era, but it's sometimes a little closer to the chaff than a Laika film should be.",The Boxtrolls (2014)
dominick-mayer,rotten,D+,annabelle,"For much of its running time, Annabelle is so bereft of ideas for scare tactics that when the doll isn't involved, it's hard to differentiate it from any other domestic horror movie that's ever come out.",Annabelle (2014)
dominick-mayer,rotten,D+,dracula_untold,"Dracula Untold is agreeably silly at points, but that hardly covers for the fact that much of the film's action is visually incomprehensible.",Dracula Untold (2014)
dominick-mayer,rotten,C-,men_women_and_children,"Ultimately, when it comes time to tie the film all together into something memorable, Men, Women & Children offers only its equivalent of a shrugging emoticon in reply.","Men, Women & Children (2014)"
dominick-mayer,fresh,B,the_hunting_ground_2015,"While the film volleys disturbing statistics throughout, The Hunting Ground keeps the focus exactly where it should be: on the survivors.",The Hunting Ground (2015)
dominick-mayer,rotten,F,addicted_2014,Addicted is the kind of film for which the Alan Smithee pseudonym was invented.,Addicted (2014)
dominick-mayer,fresh,B,interstellar_2014,"Interstellar is a grand gesture in every way. And yet, it's Nolan's most humane film to date.",Interstellar (2014)
