critic_id,critic_id_2,critic_id_3,critic_name
a-kaye-parkinson,,,A. Kaye Parkinson
a-scott-walton,,,A. Scott Walton
aa-dowd,,,A.A. Dowd
aakash-karkare,,,Aakash Karkare
aakriti-anand,,,Aakriti Anand
aaron-aradillas,,,Aaron Aradillas
aaron-asadi,,,Aaron Asadi
aaron-bady,,,Aaron Bady
aaron-besecker,,,Aaron Besecker
aaron-channon,,,Aaron Channon
aaron-couch,,,Aaron Couch
aaron-cutler,,,Aaron Cutler
aaron-davies,,,Aaron Davies
aaron-hillis,,,Aaron Hillis
aaron-lazenby,christopher-null-and-aaron-lazenby,,Aaron Lazenby
aaron-lecklider,,,Aaron Lecklider
aaron-leitko,,,Aaron Leitko
aaron-light,,,Aaron Light
aaron-mesh,,,Aaron Mesh
aaron-neuwirth,,,Aaron Neuwirth
aaron-passman,,,Aaron Passman
aaron-price,,,Aaron Price
aaron-pruner,,,Aaron Pruner
aaron-riccio,,,Aaron Riccio
aaron-rutkoff,,,Aaron Rutkoff
aaron-sagers,,,Aaron Sagers
aaron-scott,,,Aaron Scott
aaron-wherry,,,Aaron Wherry
aaron-yap,,,Aaron Yap
aarti-jhurani,,,Aarti Jhurani
abbey-bender,,,Abbey Bender
abbey-stone,,,Abbey Stone
abbey-white,,,Abbey White
abby-garnett,,,Abby Garnett
abby-mcganney-nolan,,,Abby McGanney Nolan
abby-olcese,,,Abby Olcese
abby-west,,,Abby West
abel-green,,,Abel Green
abhimanyu-das,,,Abhimanyu Das
abhinav-purohit,,,Abhinav Purohit
abigail-bamsey,,,Abigail Bamsey
abigail-chandler,,,Abigail Chandler
abigail-deutsch,,,Abigail Deutsch
abigail-jones,,,Abigail Jones
abigail-radnor,,,Abigail Radnor
abraham-riesman,,,Abraham Riesman
achala-upendran,,,Achala Upendran
achy-obejas,,,Achy Obejas
acquarello,,,Acquarello
ad-murphy,,,A.D. Murphy
ada-calhoun,,,Ada Calhoun
adam-a-donaldson,,,Adam A. Donaldson
adam-barker,,,Adam Barker
adam-bellotto,,,Adam Bellotto
adam-bernstein,,,Adam Bernstein
adam-bingham,,,Adam Bingham
adam-bishop,,,Adam Bishop
adam-bouyamourn,,,Adam Bouyamourn
adam-bregman,,,Adam Bregman
adam-bryant,,,Adam Bryant
adam-bub,,,Adam Bub
adam-buckman,,,Adam Buckman
adam-carlson,,,Adam Carlson
adam-chapman,,,Adam Chapman
adam-charles,,,Adam Charles
adam-chitwood,,,Adam Chitwood
adam-clement,,,Adam Clement
adam-cook,,,Adam Cook
adam-dileo,,,Adam DiLeo
adam-fendelman,,,Adam Fendelman
adam-freelander,,,Adam Freelander
adam-fresco,,,Adam Fresco
adam-frisch,,,Adam Frisch
adam-gabbatt,,,Adam Gabbatt
adam-gold,,,Adam Gold
adam-gopnik,,,Adam Gopnik
adam-graham,,,Adam Graham
adam-holmes,,,Adam Holmes
adam-keleman,,,Adam Keleman
adam-kuruvilla-lelyveld,,,Adam Kuruvilla Lelyveld
adam-lee-davies,,,Adam Lee Davies
adam-lippe,,,Adam Lippe
adam-litovitz,,,Adam Litovitz
adam-lowes,,,Adam Lowes
adam-lusher,,,Adam Lusher
adam-markovitz,,,Adam Markovitz
adam-mars-jones,,,Adam Mars-Jones
adam-marshall,,,Adam Marshall
adam-mccabe,,,Adam McCabe
adam-mcdowell,,,Adam McDowell
adam-morgan,,,Adam Morgan
adam-nayman,,,Adam Nayman
adam-newland,,,Adam Newland
adam-pasick,,,Adam Pasick
adam-rayner,,,Adam Rayner
adam-ross,,,Adam Ross
adam-sandler,,,Adam Sandler
adam-schubak,,,Adam Schubak
adam-sherwin,,,Adam Sherwin
adam-smith,,,Adam Smith
adam-stafford,,,Adam Stafford
adam-starkey,,,Adam Starkey
adam-sternbergh,,,Adam Sternbergh
adam-sweeney,,,Adam Sweeney
adam-sweeting,,,Adam Sweeting
adam-tanswell,,,Adam Tanswell
adam-thirlwell,,,Adam Thirlwell
adam-tierney,,,Adam Tierney
adam-tobias,,,Adam Tobias
adam-tschorn,,,Adam Tschorn
adam-vitcavage,,,Adam Vitcavage
adam-w-hofbauer,,,Adam W. Hofbauer
adam-weiskind,,,Adam Weiskind
adam-white,,,Adam White
adam-whyte,,,Adam Whyte
adam-williams,,,Adam Williams
adam-woodward,,,Adam Woodward
addie-broyles,,,Addie Broyles
addie-morfoot,,,Addie Morfoot
addison-macdonald,,,Addison MacDonald
adele-marley,,,Adele Marley
adele-weder,,,Adele Weder
adi-robertson,,,Adi Robertson
adolfo-c-martinez,,,Adolfo C. Martinez
adria-vasil,,,Adria Vasil
adrian-andrade,,,Adrian Andrade
adrian-berry,,,Adrian Berry
adrian-bromley,,,Adrian Bromley
adrian-carande,,,Adrián Carande
adrian-centeno,,,Adrian Centeno
adrian-danks,,,Adrian Danks
adrian-daub,,,Adrian Daub
adrian-denrico,,,Adrian D'Enrico
adrian-gonzalez-vina,,,Adrián González Viña
adrian-hennigan,,,Adrian Hennigan
adrian-mack,,,Adrian Mack
adrian-mackinder,,,Adrian MacKinder
adrian-martin,adrian-martin-and-cristina-alvarez-lopez,,Adrian Martin
adrian-michaels,,,Adrian Michaels
adrian-miles,,,Adrian Miles
adrian-monserrat,,,Adrián Monserrat
adrian-ruiz,,,Adrián Ruiz
adrian-sandiford,,,Adrian Sandiford
adrian-searle,,,Adrian Searle
adrian-smith,,,Adrian Smith
adrian-turner,,,Adrian Turner
adrian-zak,,,Adrian Zak
adriana-fernandez,,,Adriana Fernández
adriane-neuenschwander,,,Adriane Neuenschwander
adriane-quinlan,,,Adriane Quinlan
adrianne-jeffries,,,Adrianne Jeffries
adrienne-johnson,,,Adrienne Johnson
adrienne-jones,,,Adrienne Jones
ae-souzis,,,A.E. Souzis
aeryk-pierson,,,Aeryk Pierson
afiya-augustine,,,Afiya Augustine
afsheen-nomai,,,Afsheen Nomai
agnes-kegl,,,Agnes Kegl
agnieszka-gratza,,,Agnieszka Gratza
ah-weiler,,,A.H. Weiler
ahmed-peerbux,,,Ahmed Peerbux
ahsan-haque,,,Ahsan Haque
aidan-smith,,,Aidan Smith
aidin-vaziri,,,Aidin Vaziri
aileo-weinmann,,,Aileo Weinmann
ailis-brennan,,,Ailis Brennan
ailsa-caine,,,Ailsa Caine
aime-ancian,,,Aime Ancian
aimee-knight,,,Aimee Knight
aimee-lee-abraham,,,Aimee-lee Abraham
aine-oconnor,,,Aine O'Connor
aisha-harris,,,Aisha Harris
aisling-moloney,,,Aisling Moloney
aj-caulfield,,,AJ Caulfield
aj-goldmann,,,A.J. Goldmann
aja-romano,,,Aja Romano
akeem-lawanson,,,Akeem Lawanson
akemi-aiello,,,Akemi Aiello
akilah-hughes,,,Akilah Hughes
akiva-gottlieb,,,Akiva Gottlieb
al-alexander,,,Al Alexander
al-brumley,,,Al Brumley
al-finestone,,,Al Finestone
al-hoff,,,Al Hoff
